,skills,label
0,html  javascript  jquery  github  photoshop illustrator,web_tasarim
1,wordpress  mysql  html  javascript,web_tasarim
2,raporlama  veri analizi office programlari ekip calismasi  google analytics,web_tasarim
3,wordpress  mysql  html  digital pazarlama,web_tasarim
4,analitik dusunen  html  angular  jquery  fronted development  bootstrap  react  photoshop,web_tasarim
5,react  javascript,web_tasarim
6,fronted developer  html  javascript  jquery  bootstrap,web_tasarim
7,html  photoshop  iletisimi kuvvetli,web_tasarim
8,veri tabani  core angular  node elasticsearch  scrum,web_tasarim
9,html   jquery  javascript  bootstrap  smarty twig blade  hosting  photoshop sketch  fronted developer,web_tasarim
10,javascript  jquery  html  mysql  webapi,web_tasarim
11,sketch invision adobe photoshop adobe illustrator  analitik dusunen  birden fazla is yuruten  ekip calismasi,web_tasarim
12,html  react native  mysql  javascript,web_tasarim
13,grafik tasarim,web_tasarim
14,html  javascript  bootstrap  angularjs  grunt gulp,web_tasarim
15,html  jquery  responsive design  ingilizce  ekip calismasi  digital pazarlama  arastirmayi seven  isletim sistemleri  hosting domain yonetimi,web_tasarim
16,raporlam  gorsel gucu yuksek  sosyal medya  html  javascript  mysql  google analytics  responsive mobil tasarim  image editor,web_tasarim
17,html  javascript  bootstrap  jquery  ticaret sitesi yonetimi  mysql  ajax json,web_tasarim
18,grafik tasarim   html  bootstrap  wordpress  mobile responsive  adobe dreamweaver  photoshop illustrator indesign after effects  ekip calismasi  ticaret  ingilizce,web_tasarim
19,sorumluluk sahibi  python django   linux gentoo ubuntu   mysql  postgresql proxy sunucularina hakimiyet   github  raporlama,web_tasarim
20,html  jquery  responsive design  wordpress   video icerik olusturabilme  isletim sistemleri  gorsel duzenleme  digital pazarlama  tasarim,web_tasarim
21,html  javascript  ingilizce  site tasarimi  sosyal medya  iletisimi kuvvetli  office programlari,web_tasarim
22,react  redux  javascript analitik dusunebilen   ingilizce  sorumluluk sahibi  kendini gelistiren,web_tasarim
23,fronted developer angular  javascript  jquery  bootstrap html  zeplin,web_tasarim
24,tasarim  html  javascript,web_tasarim
25,html  javascript  jquery ingilizce  veri tabani  sorumluluk sahibi  analitik dusunen,web_tasarim
26,dokumantasyon   raporlama  full stack developer  nesneye dayali kodlama microsoft entity framework   design patterns html  javascript   jquery  angularjs  ajax responsive design framework mysql  mssql  mongo,web_tasarim
27,ingilizce javascript  html  bootstrap,web_tasarim
28,google analytics responsive adaptive tasarim wordpress  html  javascript cpanel plesk hosting,web_tasarim
29,visual studio  photoshop coreldraw grafiksel analiz tasarim  ingilizce  sorumluluk sahibi ,web_tasarim
30,veritabani   html  javascript  jquery  bootstrap guler yuzlu,web_tasarim
31,bulut  tsql  jquery   yorum satiri yazan ingilizce,web_tasarim
32,html  javascript  jquery  bootstrap  analitik dusunme yazili sozlu iletisim becerileri gelismis ekip calismasi  postgresql  mysql,web_tasarim
33,visual studio,web_tasarim
34,veri tabani  nesneye dayali kodlama  muhasebe  finans  ingilizce  tecrubeli,web_tasarim
35,html  json bootstrap  linux  kendini gelistiren,web_tasarim
36,veri tabani  ekip calismasi,web_tasarim
37,python  react  kendini gelistiren  inglizce  raporlama django  laravel  javascript,web_tasarim
38,ticaret  html  javascript  mysql  jquery  ajax  json  angular  cpanel plesk hosting google analystics  ingilizce  kendini gelistiren  cozum odakli,web_tasarim
39,html  frontend  html  ajax typescript  sass  less processor  java  kotlin server,web_tasarim
40,photoshop illustrator  mysql  javascript  ajax  jquery  html  bootstrap,web_tasarim
41,html  mysql  ingilizce  analitik dusunen  iletisim becerilerine sahip   linux centos  json guvenlik,web_tasarim
42,html  json bootstrap  jquery  angular google analystics cpanel plesk hosting adobe photoshop ingilizce  veri tabani  guler yuzlu,web_tasarim
43,frontend  javascript  angular  ingilizce  html  bitbucket   ajax  makine ogrenmesi  derin ogrenme java  python  django   google cloud,web_tasarim
44,javascript  jquery  html   adobe photoshop ingilizce kendini gelistiren,web_tasarim
45,iletisim becerine sahip  digital ajans  ingilizce  analitik dusunen veri tabani  raporlama,web_tasarim
46,html  javascript  jquery  bootstrap  skeleton kutuphanesi sass less islemci kutuphanelsi  photoshop  visual studio  iletisim becerine sahip  icerik yonetim sistemleri,web_tasarim
47,javascript  react  mobil uygulama  nesneye dayali kodlama  veri tabani  analitik dusunen ,web_tasarim
48,grafik tasarim   adobe illustrator  adobe photoshop adobe indesign  html adobe premiere dreamweaver adobe after effects  kendini gelistiren,web_tasarim
49,javascript  veri guvenligi nosql html ingilizce  angular  react typescript  iletisimi kuvvetli  ekip calismasi,web_tasarim
50,html  marka tasarimi  photoshop illustrator,web_tasarim
51,html  jquery  javascript responsive layout,web_tasarim
52,xhtml  html  ajax  javascript  responsive  mssql java  swift  android studio  xcode analitik dusunen json ingilizce,web_tasarim
53,html  ajax  mysql  jquery  bootstrap  wordpress  linux rest  soap  json,web_tasarim
54,javascript  html wordpress,web_tasarim
55,office programlari adobe photoshop  adope fireworks  sketch  sosyal medya grafik tasarim  html online ticaret,web_tasarim
56,javascript  html devexpress raporlama  ingilizce,web_tasarim
57,html  xhtml  http  json  ajax  javascript  jquery guvenlik,web_tasarim
58,mysql  json html tasarim bootstrap,web_tasarim
59,photoshop    ingilizce ticaret  kategori duzenleme,web_tasarim
60,html  ingilizce photoshop  fireworks dreamwevar  html  wordpress,web_tasarim
61,bootstrap  html  react  redux  nodejs  extreact  coffeescript  typescript  less  sass  soap rest html javascript  react,web_tasarim
62,fonksiyonel programlama  devops rest  graphql node json  javascript  ecmascript  typescript sass  less  postcss react,web_tasarim
63,javascript  versiyon kontrol   ingilizce,web_tasarim
64,guvenlik  full stack  nesneye dayali programlama html javascript nosql,web_tasarim
65,javascript  angularjs  react knockout backbone html jquery react typscript  less  sass  responsive  inglizce frontend developer,web_tasarim
66,html  bootstrap  javascript  jquery typescript  angularjs,web_tasarim
67,html  javascript  json  jquery  soap,web_tasarim
68,photoshop illustrator wordpress html cpanel,web_tasarim
69,javascript react  typescript  html  restful apis  sass  less  javascript  jquery  ajax soap rest json ingilizce,web_tasarim
70,html sass  modern javascript  react  redux vuex photoshop sketch,web_tasarim
71,yazilim gelistirme  gorsel tasarim  wordpress  html,web_tasarim
72,office programlari   microsoft axapta iletisim becerilerine sahip  kendini gelistiren,is_analizi_raporlama
73,veri analizi  veri analitigi  musteri yonetimi  raporlama,is_analizi_raporlama
74,office programlari  ingilizce  yazilim gelistirme problem analizi ve cozumu  organizasyon,is_analizi_raporlama
75,iliskisel veri tabani  office programlari  yazilim gelistirme proje yonetim   yazilim test,is_analizi_raporlama
76,analitik dusunen  surec analizi  raporlama ekip liderligi sorumluluk sahibi,is_analizi_raporlama
77,finans sayisal analiz inglizce iletisim becerine sahip kendine guvenen analiz yapan raporlama,is_analizi_raporlama
78,ingilizce  programlama algoritma veri tabani hata analizi  office programlari urun gelistirme iletisim becerilerine sahip,is_analizi_raporlama
79,yazilim gelistirme analiz ingilizce problem yonetimi analiz raporlama fizibilite,is_analizi_raporlama
80,istatistik office programlari surec analizi sigortacilik analitik dusunen raporlama iletisim becerilerine sahip,is_analizi_raporlama
81,veri yorumlama  analiz akis diyagramlari sistem tasarimi,is_analizi_raporlama
82,veri yapilari office programlari surec yonetimi analitik dusunen,is_analizi_raporlama
83,ekonoetri teknik analiz raporlama,is_analizi_raporlama
84,test senaryo analiz ingilizce,is_analizi_raporlama
85,finans analiz,is_analizi_raporlama
86,cbap ccba  yazilim gelistirme ve test  analiz office programlari,is_analizi_raporlama
87,soap rest servis  analitik dusunen hizli ogrenen test  analiz,is_analizi_raporlama
88,isletim sistemleri bulut sanallastirma guvenlik analiz,is_analizi_raporlama
89,kalite yonetim sistemi  statik dinamik biyomekanik testleri ingilizce raporlama office programlari,is_analizi_raporlama
90,muhasebe bankacilik analiz test,is_analizi_raporlama
91,office programlari ingilizce word  excel  access project  visio  analiz,is_analizi_raporlama
92,veri tabani office programlari excel proje yonetimi proje gelistirme,is_analizi_raporlama
93,teknik analiz fonksiyonel test analitik dusunme,is_analizi_raporlama
94,proje yonetme ingilizce analitik dusunen sorumluluk sahibi waterfall  cbap sertifikasi kendini gelistiren,is_analizi_raporlama
95,ingilizce analitik dusunen problem cozme kayit sistemi,is_analizi_raporlama
96,finans test analiz raporlama veri tabami,is_analizi_raporlama
97,office programlari telekom analiz raporlama,is_analizi_raporlama
98,raporlama analiz satis analizi raporlama stok analizi  google analytics  satis stratejisi ingilizce,is_analizi_raporlama
99,surec akis modelleme ingilizce surec analizi ihtiyac analizi raporlama office programlari,is_analizi_raporlama
100,office programlari gida analizi kimya ekip calismasi,is_analizi_raporlama
101,finans veri tabani   analiz   ihtiyac analizi  sistem analizi  case agile programlama  diagram   test case,is_analizi_raporlama
102,elyaf analizi   mikroskopik analiz   elyaf analizi uzmani,is_analizi_raporlama
103,kimya oyuncak analizi  cocuk kirtasiye urunlerinin guvenlik testleri fiziksel test ingilizce,is_analizi_raporlama
104,ingilizce analitik dusunen sabirli   office programlari  trafik kasko konut dask ferdi kaza winsure sigortacilik paket programi bilgisine sahip  sigorta sektoru urun tasarimi proje yonetimi  altyapi tasarimlari raporlama,is_analizi_raporlama
105,analiz cozum uretebilen ekip calismasi iletisin becerilerine sahip ingilizce,is_analizi_raporlama
106,kimya  kontrol laboratuvari  office programlari analitik dusunen  cozum odakli  gelisime acik  ekip calismasina yatkin,is_analizi_raporlama
107,analiz ingilizce   analitik dusunen arastirmayi seven problem cozmeyi seven ekip calismasina yatkin  sonuc odakli  takip yonu kuvvetli  ticaret,is_analizi_raporlama
